Savol;Javob1;Javob2;Javob3;Javob4
Регулирующим методологическую основу организации работы Службы внутреннего аудита,  является:;Закон Республики Узбекистан «Об аудиторской деятельности»;Национальные стандарты аудиторской деятельности Республики Узбекистан;Постановление Президента Республики Узбекистан от 27 сентября 2006 г., № ПП-475 «О мерах по дальнейшему развитию рынка ценных бумаг;Положение о службе внутреннего аудита на предприятиях, утвержденный постановлением Кабинета Министров Республики Узбекистан от 16 октября 2006 г.,  № 215	;
Результатам проведенной проверки со стороны сотрудников Службы внутреннего аудита, составленные сводные отчеты подписываются;руководителем службы внутреннего аудита	;председателем наблюдательного совета предприятия;генеральным директором предприятия;помощником внутреннего аудитора;
Результаты работы эксперта должны представляться:;в устной форме – в виде консультаций;в виде отчета в письменной форме	;в виде пояснительной записки;по требованию аудитора письменной или устной форме;	
Риск того, что существенные искажения, которые могут иметь место в отношении остатка средств по счетам бухгалтерского учета или группы однотипных операций, не будут  своевременно предотвращены или обнаружены и исправлены с помощью систем бухгалтерского учета и внутреннего контроля, является:;риск необнаружения	;неотъемлемый риск	;риска средств контроля;информационный риск;	
Руководители и иные должностные лица проверяемой организации должны;не ограничивать круг вопросов, подлежащих выяснению;ограничивать круг вопросов, подлежащих выяснению;в обязательном порядке выполнять все рекомендации аудитора по повышению эффективности производства	;давать аудитору разъяснения в письменной и устной формах по запросу аудитора;	
Руководитель аудируемого лица обязан:;запрашивать сведения, необходимые для проверки у третьих лиц;осуществлять контроль за работой независимых аудиторов;проверять фактическое наличие имущества, отраженного в документации	;утверждать общий план аудиторской проверки;
С аудиторскими процедурами проверки по существу напрямую связан уровень:	;риск необнаружения	;неотъемлемый риск;риска средств контроля;неотъемлемый риск и риск системы контроля;	
Сальдировать дебиторскую, кредиторскую задолженность в бухгалтерском балансе;Разрешается;Запрещается;в соответствии с учетной политикой;по решению финансового директора;
Система внутреннего контроля должна включать в себя:;объект внутреннего контроля, субъект внутреннего контроля, обратную связь;надлежащую систему бухгалтерского учета, контрольную среду, отдельные средства контроля;субъект внутреннего контроля и систему бухгалтерского учета;организационную структуру, систему бухгалтерского учета и средства контроля;	
Службой внутреннего аудита руководство на предприятиях осуществляется  со стороны:	;генерального директора;председателя наблюдательного совета;руководителя Службы внутреннего аудита	;руководителя службы внутреннего контроля	;
Согласно, какой деятельности  Службы внутреннего аудита финансируется:;сметы расходов, утвержденной наблюдательным советом предприятия;штатному расписанию, утвержденному руководителем предприятия;контракту, заключённому  с наблюдательным советом предприятия;сметы расходов, согласованной с наблюдательным советом предприятия;
Создание службы внутреннего аудита в каком нормативно-правовом документе Республики Узбекистан предусмотрено:;в Законе Республики Узбекистан «Об обществах с ограниченной  и дополнительной ответственностью»;в Законе Республики Узбекистан «Об аудиторской деятельности»;в Постановлении Президента Республики Узбекистан от 27 сентября 2006г., № ПП-475 «О мерах по дальнейшему развитию рынка ценных бумаг;в Законе Республики Узбекистан «Об акционерных обществах и защите прав акционеров»;
Состав учредителей аудируемого лица оказывает влияние на следующие моменты;порядок применения положений по бухгалтерскому учету	;сроки составления финансовой отчетности;сроки представления аудиторского заключения;порядок составления аудиторского заключения;	
Стандарты аудита определят:	;нормы отношение	;стратегию аудиторской проверки;масштаб аудиторской проверки;принципы, масштаб и методологию аудита;
Суммы списанной дебиторской задолженности, по которой истек срок исковой давности, признаются в бухгалтерском учете в составе расходов;по обычным видам деятельности;прочих;внереализационных	;Коммерческих;
Суммы, полученные аудируемым лицом от покупателей в счет предстоящей оплаты за приобретаемую ими продукцию, - это:;авансы полученные;авансы выданные;доходы будущих периодов;расходы будущих периодов;	
Термин «аудитор» происходит от латинского глагола «аудиторе», который означает;слышать, выслушивать, слушать;Проверять;удостоверять	;Наблюдать;	
Тесты средств внутреннего контроля означают проверки, проводимые с целью получения аудиторских доказательств в отношении:	;составление программы аудита;правильности отражения операций и остатка средств на счетах бухгалтерского учета;раскрытия информации;надлежащей организации и эффективности функционирования систем бухгалтерского учета и внутреннего контроля	;
Укажите процедуру, неиспользуемую для получения аудиторского доказательства внешнего аудита;Опрос;Подотчет;Наблюдение;оперативный контроль;
Указать общие черты в работе аудитора и ревизора.;по результатам контроля налагают санкции на нарушителей законодательства	;исследуют финансово-хозяйственные операции организаций	;вопросы проверки определяются договором;обнаружить и предотвратить ошибку	;
Указать общие черты в работе аудитора и ревизора.;Исследуют финансово-хозяйственные операции орган;Определяют  методы проверок самостоятельно;Вопросы проверки определяются договором;По результатам контроля налагают санкции на нарушителей законодательства;
Указать, в каких из приведенных случаев аннулируется квалификационный аттестат аудитора;Аудитор нарушил установленные сроки повышения квалификации;Аудитор подписал отрицательное заключение;неучастие в аудиторской деятельности в течение трех лет;Аттестат получен с использованием подложных документов;	
Уклонением хозяйствующего субъекта от проведения обязательной аудиторской проверки признается:;в случи отказа аудитора о составления аудиторского заключения;непредставления аудиторского заключения в налоговый орган;непроведение аудиторской проверки годовой финансовой отчетности до 1 мая года, следующего за отчетным годом;не проведение аудиторской проверки годовой финансовой отчетности до 1 марта года, следующего за отчетным годом;
Уровень существенности для аудита был установлен – 60 000 у.е., обнаруженные искажения - 45 000 у.е., возможные искажения рассчитаны на уровне 55 000 у.е. Какое аудиторское заключение должно быть порекомендовано в данном случае если руководство согласится внести поправки в финансовую отчетность, касающиеся обнаруженных искажений?;уровень существенности не влияет на мнению аудитора;отказ от выражения мнения	;отрицательное мнение;положительное мнение	;
Факт неполной оплаты уставного капитала учредителями аудируемого лица в сроки, установленные законодательством	;является основанием для выдачи отрицательного аудиторского заключения;является основанием для обязательного выражения аудитором сомнения в непрерывности деятельности аудируемого лица;не имеет для аудитора никакого значения, он проверяет только правильность отражения задолженности участников в бухгалтерском учете и отчетности;может являться для аудитора основанием для выражения сомнения в непрерывности деятельности аудируемого лица;
Финансовые вложения принимаются к учету	в сумме ;номинальной стоимости;в сумме фактических затрат	;по рыночной стоимости;в сумме остаточной стоимости;	
Целью аудита финансовых результатов и их использования является выражение мнения о:;правильности заполнения отчета о прибылях и убытках;достоверности отражения финансовых результатов в финансовой отчетности и соответствии порядка ведения бухгалтерского учета финансовых результатов и их использования законодательству РУз;соответствии используемого организацией порядка учета и использования финансовых результатов требованиям нормативных актов; правильности ведение делопроизводство;
Чему должны следовать аудиторские фирмы в процессе своей профессиональной деятельности?	;аудиторские стандарты;внешние стандарты	;внутренние стандарты;национальным стандартам;
Что представляет собой аудиторское доказательство?	;Любая информация, используемая аудитором с целью формулирования выводов, на которых основывается аудиторское мнение;Информация, полученная аудитором в ходе аудита, имеющая документальное подтверждение;Информация, используемая аудитором с целью формулирования выводов, на которых основывается аудиторское мнение, кроме информации, подготовленной третьими лицами;Информация, полученная в результате аудиторских процедур, выполненных в ходе аудита;
Что является результатом выполнения аналитических процедур?;отклонение фактических показателей от среднеотраслевых	;отклонение результата выполнения политики и стратегии клиента	;выявление аудитором наличия или отсутствия необычных или неверно отраженных фактов и показателей бухгалтерской отчетности клиента, определяющих области потенциального риска;отклонения от внутренних инструкций;
Экономический субъект отказался от предложения аудиторской фирмы, проводящей у него аудит, пригласить эксперта для выполнения экспертизы, необходимой аудиторам. Отказ был оформлен письменно. Действия аудитора:;в случае отказа экономического субъекта от использования работы эксперта аудиторская организация рассматривает вопрос о подготовке по результатам проведенного аудита  аудиторского заключения, отличного от безоговорочно положительно	;экономический субъект абсолютно прав;аудитор отказывается от дальнейшего проведения аудита	;аудиторы правы лишь в том случае, если эксперт не проводил ранее такую работу данного экономического субъекта;
Этапы развития аудиторской деятельности	;1. Внешний 2. Внутренний	;    1. Первоначальный 2. Согласованный (повторяющийся) 3. Оперативный	;    1. Обязательный 2. Инициативный;1.Подтверждающий2.Системно-ориентированный 3.Аудит, базирующийся на риске	;
Является ли мерой предосторожности в отношении угрозы личной заинтересованности в отношении соблюдения принципа профессиональной компетентности:	;Все ответы неправильные.;получение информации о собственниках, руководителях и лицах, ответственных за административную и коммерческую деятельность клиента;получение от клиента гарантированных заверений усовершенствовать практику корпоративного поведения (управления) либо систему внутреннего контроля;соблюдение правил и процедур контроля качества, способных в разумных пределах гарантировать, что конкретное задание принимается только тогда, когда оно может быть квалифицированно выполнено	;
Является ли неправильным какое из нижеперечисленных утверждений:;Республиканское общественное объединение аудиторов участвует в разработке программы обучения внутренних аудиторов и порядка сдачи экзаменов на право получения сертификата внутреннего аудитора	;Республиканское общественное объединение аудиторов осуществляет выдачу лицензий дающих право заниматься аудиторской деятельностью в республике;Республиканское общественное объединение аудиторов участвует в проведении квалификационных экзаменов на право получения квалификационного сертификата аудитора;Республиканское общественное объединение аудиторов участвует в подготовке предложений по совершенствованию законодательства об аудиторской деятельности;
Является ли обязательным правила обеспечения качества аудиторской проверки в службе внутреннего аудита:;для обеспечения правильного распределения обязанностей между внутренними аудиторами и их помощниками;для всех внутренних аудиторов службы внутреннего аудита, соблюдение которой проверяется руководителем службы внутреннего аудита	;для повышения ответственности руководителя аудиторской группы перед своим руководителем	;внутри службы внутреннего аудита, требования которой является обязательными для их выполнения	;
Является ли обязательным соблюдение внутренними аудиторами кодекс этики внутренних аудиторов при:;внутренней аудиторской проверке;обязательной аудиторской проверке	;сопутствующих аудиту услугах	;аудите, сопутствующих услугах и прочих услугах, связанных с аудиторской деятельностью	;




